"follower","active_user"
"6169902","965009689"
"2348301866","965009689"
"1113473782218338304","965009689"
"137875723","965009689"
"384190969","965009689"
"2263815974","965009689"
"2950104798","965009689"
"1044062057098670082","965009689"
"1133383907636928512","965009689"
"387929732","965009689"
"720125461116940288","965009689"
"284271344","965009689"
"597246568","965009689"
"1227986679362768896","965009689"
"1148147836438974466","965009689"
"38626363","965009689"
"1001792759580082177","965009689"
"612775714","965009689"
"1250380780687093763","965009689"
"710394355115286528","965009689"
"1734348666","965009689"
"1531418089","965009689"
"1240731056988229632","965009689"
"709978333","965009689"
"1163682637845655552","965009689"
"79449147","965009689"
"549943388","965009689"
"1260295084265725952","965009689"
"2396140796","965009689"
"259109472","965009689"
"155189259","965009689"
"563201912","965009689"
"55969790","965009689"
"2315741335","965009689"
"401216812","965009689"
"35188823","965009689"
"1235358789370392577","965009689"
"192472403","965009689"
"1003491289","965009689"
"903119070647558144","965009689"
"2257179732","965009689"
"62013203","965009689"
"847404451962929153","965009689"
"312698073","965009689"
"781811510142078977","965009689"
"918999228","965009689"
"1118304027664502785","965009689"
"1083220802294575104","965009689"
"1056543367","965009689"
"1131961712708505600","965009689"
"716080506","965009689"
"224484696","965009689"
"42845131","965009689"
"1249662775451770880","965009689"
"1241230818757849088","965009689"
"68728245","965009689"
"155949495","965009689"
"634629129","965009689"
"32727737","965009689"
"1221103561007722501","965009689"
"3297901176","965009689"
"2948928961","965009689"
"76684179","965009689"
"984340824287723521","965009689"
"1187204614812139520","965009689"
"69628477","965009689"
"779518616479817733","965009689"
"1258017791937884161","965009689"
"1214958710646165504","965009689"
"160700459","965009689"
"31079508","965009689"
"56763511","965009689"
"145513438","965009689"
"73181611","965009689"
"184312040","965009689"
"84793093","965009689"
"2891178978","965009689"
"215275005","965009689"
"1033892601940795392","965009689"
"206913597","965009689"
"1199739827186360321","965009689"
"1138436280507744258","965009689"
"1062270409","965009689"
"194843303","965009689"
"101190230","965009689"
"534376101","965009689"
"393328040","965009689"
"865771538833752064","965009689"
"1008216469","965009689"
"278296600","965009689"
"1184330732962906112","965009689"
"458394465","965009689"
"505846587","965009689"
"180989569","965009689"
"716464434143563777","965009689"
"1218529899008278528","965009689"
"1381755241","965009689"
"1235944731332341761","965009689"
"65335781","965009689"
"2284430040","965009689"
"88120876","965009689"
"37878535","965009689"
"336459190","965009689"
"1259549707354820609","965009689"
"1206377794097143808","965009689"
"3713725873","965009689"
"2952318577","965009689"
"58778067","965009689"
"1132332031617130497","965009689"
"94486693","965009689"
"446020413","965009689"
"77966917","965009689"
"869778978340352000","965009689"
"362339584","965009689"
"568335494","965009689"
"1389224875","965009689"
"343851128","965009689"
"44612560","965009689"
"103858068","965009689"
"198824314","965009689"
"976074918","965009689"
"199699234","965009689"
"1199259716532072449","965009689"
"755365040299974657","965009689"
"1148013674210029568","965009689"
"489424168","965009689"
"67002176","965009689"
"46107568","965009689"
"1133528930525241344","965009689"
"343108873","965009689"
"285323226","965009689"
"1150450965763334144","965009689"
"110120866","965009689"
"943867935638020098","965009689"
"802308254","965009689"
"1249267737865506816","965009689"
"1204072455595184129","965009689"
"1889430074","965009689"
"747500709042495488","965009689"
"1242850358507917312","965009689"
"1244632891411189760","965009689"
"1093404378956845056","965009689"
"3237756062","965009689"
"944805994734821377","965009689"
"218481444","965009689"
"2408675624","965009689"
"4076277926","965009689"
"77409002","965009689"
"177050012","965009689"
"2392235689","965009689"
"1163326657685381121","965009689"
"105972419","965009689"
"1415536370","965009689"
"723402260","965009689"
"966647492807766016","965009689"
"85040113","965009689"
"2574484178","965009689"
"320786197","965009689"
"21346276","965009689"
"4756968492","965009689"
"485378870","965009689"
"118547259","965009689"
"44028542","965009689"
"1104629138864799745","965009689"
"1352803232","965009689"
"963834780","965009689"
"434626821","965009689"
"1190914140551823360","965009689"
"952419121974538241","965009689"
"1241774829272883200","965009689"
"71191570","965009689"
"43089701","965009689"
"1398816668","965009689"
"85053951","965009689"
"142512628","965009689"
"187768864","965009689"
"412256048","965009689"
"405376401","965009689"
"763303473362239490","965009689"
"119648011","965009689"
"59371502","965009689"
"92935777","965009689"
"72334498","965009689"
"752058714555686914","965009689"
"324826353","965009689"
"1056234763097321473","965009689"
"1042903142562557952","965009689"
"474679824","965009689"
"534285842","965009689"
"44353330","965009689"
"171334115","965009689"
"1969734720","965009689"
"1247854101863362563","965009689"
"2953350308","965009689"
"1248921825960005632","965009689"
"1231527737740840960","965009689"
"50906642","965009689"
"1054492197549043712","965009689"
"1185454541832982530","965009689"
"111794551","965009689"
"1107137001336127489","965009689"
"1220018030140280834","965009689"
"90589340","965009689"
"19147674","965009689"
"349321579","965009689"
"1023477085048696832","965009689"
"1054676281013485570","965009689"
"4378977380","965009689"
"71703932","965009689"
"160419026","965009689"
"751092384","965009689"
"2397265447","965009689"
"25081474","965009689"
"1262255833","965009689"
"373680132","965009689"
"3911202913","965009689"
"125924860","965009689"
"1112373068012249088","965009689"
"58291700","965009689"
"83582130","965009689"
"1676169553","965009689"
"97163422","965009689"
"743476378952044544","965009689"
"770081151469969412","965009689"
"101677560","965009689"
"226442488","965009689"
"85541959","965009689"
"1227612853462433792","965009689"
"949491632419696640","965009689"
"1177163072059756544","965009689"
"1216576956520513536","965009689"
"969187957910290433","965009689"
"1259979058357473280","965009689"
"91974370","965009689"
"371290427","965009689"
"182061583","965009689"
"2873823930","965009689"
"14071175","965009689"
"1217086255453728770","965009689"
"93301368","965009689"
"446189296","965009689"
"582742935","965009689"
"76984137","965009689"
"962824394321010688","965009689"
"974320816614551552","965009689"
"294390844","965009689"
"3646257318","965009689"
"100430860","965009689"
"805985754442702849","965009689"
"198484583","965009689"
"1247893876729208834","965009689"
"82853966","965009689"
"356726153","965009689"
"2393877301","965009689"
"1259470475710722048","965009689"
"1259178783602618368","965009689"
"1334011124","965009689"
"1252625036319440896","965009689"
"1238617564751769601","965009689"
"343394092","965009689"
"83885227","965009689"
"1258315820905623552","965009689"
"2866394424","965009689"
"138632715","965009689"
"555673899","965009689"
"76917051","965009689"
"513870152","965009689"
"1620575436","965009689"
"860385587051626509","965009689"
"946374600996282369","965009689"
"111807847","965009689"
"232138123","965009689"
"39716684","965009689"
"232510697","965009689"
"706801483","965009689"
"64962484","965009689"
"963964858206109696","965009689"
"91497295","965009689"
"1248966954322255872","965009689"
"227604184","965009689"
"741431028","965009689"
"18822125","965009689"
"4656838424","965009689"
"1005730232702103552","965009689"
"136498735","965009689"
"524404112","965009689"
"623002148","965009689"
"2212081202","965009689"
"969090485062057987","965009689"
"1243223471988944898","965009689"
"1110734266923507712","965009689"
"59625089","965009689"
"1257166754389782528","965009689"
"993900377253724161","965009689"
"125920224","965009689"
"85234283","965009689"
"84324494","965009689"
"26902177","965009689"
"1560834644","965009689"
"1039937354935361536","965009689"
"544315647","965009689"
"382603820","965009689"
"1258479438682968064","965009689"
"231082992","965009689"
"198090405","965009689"
"84989739","965009689"
"64971801","965009689"
"779854132093984768","965009689"
"41880505","965009689"
"1031693537849430016","965009689"
"1251055177739587584","965009689"
"1082835586551926784","965009689"
"65042923","965009689"
"3139902816","965009689"
"593741251","965009689"
"1256443171132674048","965009689"
