"following","active_user"
"15974373","965009689"
"991957341724708864","965009689"
"19658684","965009689"
"35315865","965009689"
"31035414","965009689"
"35167068","965009689"
"58308178","965009689"
"2711393821","965009689"
"2196972205","965009689"
"35527998","965009689"
"80323736","965009689"
"1024505486480093185","965009689"
"14113766","965009689"
"115004157","965009689"
"20776190","965009689"
"839857283400024064","965009689"
"26321663","965009689"
"43799886","965009689"
"768522843160244224","965009689"
"301409241","965009689"
"1408449174","965009689"
"1540108152","965009689"
"97163422","965009689"
"717003570","965009689"
"1233994338922684416","965009689"
"779769354485374980","965009689"
"1107962081939058688","965009689"
"779897284532113408","965009689"
"1107319550809268224","965009689"
"1200455916115636228","965009689"
"3484109354","965009689"
"109762193","965009689"
"75937326","965009689"
"2409592178","965009689"
"1188117090340880384","965009689"
"20963426","965009689"
"1629192806","965009689"
"929005651765932034","965009689"
"31079332","965009689"
"34713362","965009689"
"3108351","965009689"
"2467791","965009689"
"292126198","965009689"
"992035050102382592","965009689"
"1144163192450494464","965009689"
"431029373","965009689"
"97150468","965009689"
"1093502771876294658","965009689"
"1128165814178205696","965009689"
"365016278","965009689"
"958076839855091712","965009689"
"1769551","965009689"
"4527941","965009689"
"1849172972","965009689"
"18815507","965009689"
"2426189960","965009689"
"705253482","965009689"
"992100827505545222","965009689"
"2175101088","965009689"
"925754444674985985","965009689"
"44272080","965009689"
"18667907","965009689"
"436739515","965009689"
"738959448018845697","965009689"
"111066477","965009689"
"722212061082595329","965009689"
"1527739122","965009689"
"920713617116467202","965009689"
"3213518355","965009689"
"980970876639133696","965009689"
"14207192","965009689"
"551600672","965009689"
"996891659924221952","965009689"
"4780649298","965009689"
"872102340639281153","965009689"
"564544250","965009689"
"1864061634","965009689"
"1176463255876907009","965009689"
"267256091","965009689"
"1157787554822811648","965009689"
"928758856859000832","965009689"
"417159323","965009689"
"34617210","965009689"
"882769518061395972","965009689"
"709303760024051716","965009689"
"1088379408","965009689"
"1178727487003660293","965009689"
"722338038","965009689"
"710376448343674880","965009689"
"1073906936","965009689"
"88635537","965009689"
"100436019","965009689"
"911258797368324103","965009689"
"172161666","965009689"
"2549517122","965009689"
"78847590","965009689"
"62455266","965009689"
"92711866","965009689"
"482126001","965009689"
"842389038489247744","965009689"
"169445636","965009689"
"876641101884432384","965009689"
"1011438486073872385","965009689"
"238389747","965009689"
"11050032","965009689"
"19612317","965009689"
"247590648","965009689"
"958566590768926721","965009689"
"993061318335782912","965009689"
"4816822213","965009689"
"626252449","965009689"
"573357589","965009689"
"33569853","965009689"
"397462571","965009689"
"61016265","965009689"
"194132774","965009689"
"1006419421244678144","965009689"
"18426790","965009689"
"2580387325","965009689"
"1155544945723432960","965009689"
"809813668892446720","965009689"
"3143763525","965009689"
"1155988311401541632","965009689"
"956996045615099904","965009689"
"1154865095064870917","965009689"
"2972520709","965009689"
"936695554201018370","965009689"
"1960908852","965009689"
"352863972","965009689"
"305575850","965009689"
"18251414","965009689"
"426558596","965009689"
"927761935","965009689"
"2863919093","965009689"
"15179874","965009689"
"2364698530","965009689"
"359024514","965009689"
"114967719","965009689"
"12828572","965009689"
"4327643776","965009689"
"930169050856075264","965009689"
"2548073790","965009689"
"4005638717","965009689"
"1711771585","965009689"
"36426516","965009689"
"1898989837","965009689"
"70641353","965009689"
"951924164134391808","965009689"
"2913283636","965009689"
"3235322726","965009689"
